url,title,price,sales
https://www.etsy.com/listing/663726819/genuine-leather-tote-bag-leather?click_key=9f8e74e6a708b699d089673ef19a59bf3f5016a2%3A663726819&click_sum=eb6d5478&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-9&pro=1&frs=1&edd=1,Genuine Leather Tote Bag Leather Anniversary Wedding Gift for Women Men Zipper Leather Purse Custom Gift for Her Travel Essential,878981,4350
https://www.etsy.com/listing/1294199153/jewelry-organizer-travel-jewelry-box?click_key=ab3f3a3418d92aaaaeabb25786a9602f68487a78%3A1294199153&click_sum=83bdb9d5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-10&pro=1&frs=1&edd=1&sts=1,Jewelry Organizer | Travel Jewelry Box | Bridesmaid Jewelry Box | Personalized Gift for Women | Bridal Party Gift | Personalized Boxes,112728,430
https://www.etsy.com/listing/974298186/to-my-sassenach-necklace-blood-of-my?click_key=814c5fde7ac0c232c887cf486a321d7a1b65de10%3A974298186&click_sum=c633d710&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-11&sts=1,"To My Sassenach Necklace, Blood of My Blood, Outlander Jewelry, Celtic Necklace, Gift From Husband to Wife, Outlander Gifts For Women",780255,599
https://www.etsy.com/listing/618244122/full-grain-leather-wallet-personalized?click_key=a3a1912d691958e6fa7dc59a345337a61b37eaf7%3A618244122&click_sum=cf64a02c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-12&pro=1&edd=1,"Full Grain Leather Wallet, Personalized Leather Wallet, Distressed Leather Wallet, Trifold Wallet Women, Anniversary Gift, Gifts For Women",1141498,3071
https://www.etsy.com/listing/968838340/personalised-name-definition-grey-satin?click_key=3a46da5310db8949a0840e912187d62e5b560536%3A968838340&click_sum=c7fc1528&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-17&edd=1&pop=1&sts=1,Personalised Name Definition Grey Satin Mug Laser Engraved Gifts Ideas Presents For Mum Dad Birthday Christmas Mothers Fathers Day,292773,10845
https://www.etsy.com/listing/620624963/personalized-gift-for-women-personalized?click_key=9be8afc3e968c1aa8714bfb1192c5cbabd372191%3A620624963&click_sum=df9ee3dd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-18&pro=1&edd=1&sts=1,Personalized Gift for Women Personalized Womens Gift Birthday Gift For Her Romantic Gift for Her,431052,3665
https://www.etsy.com/listing/888003836/coasters-editors-pick-set-of-6-drink?click_key=825349d23aab1da8993c75d58c7e2d298d3dd764%3A888003836&click_sum=1422bb95&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-19&edd=1&pop=1&sts=1,Coasters | Editors' Pick | Set of 6 Drink Coaster Set | Persian Turkish Moroccan Pattern | Housewarming Gifts | Gifts for Her | Christmas,195117,3639
https://www.etsy.com/listing/651649041/silver-name-necklace-for-women?click_key=c1c476afff96fcb29c7404aeb96eb0cf4553df01%3A651649041&click_sum=d10365cf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-20&pro=1&edd=1&sts=1,"Silver Name Necklace For Women, Personalized Jewelry, Custom Gold Name Necklace,Christmas Gift,Personalized Gift For Women,Christmas Jewelry",190127,10365
https://www.etsy.com/listing/1180298564/custom-faceless-portrait-faceless?click_key=85312666a3df6b25843f997e96e1f875939fb4af%3A1180298564&click_sum=55e30c30&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-21&frs=1&edd=1&pop=1,"Custom Faceless Portrait, Faceless Portrait Print, Custom Portrait, Faceless Digital Portrait, Couple Digital Faceless Illustration, ASAP",191083,4468
https://www.etsy.com/listing/1308195182/holiday-gifts-for-her-jewelry-travel?click_key=6c1f973425bfd751dcfa335288a4683aabc8177e%3A1308195182&click_sum=8450c157&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-22&pro=1&edd=1&sts=1,"Holiday Gifts For Her-Jewelry Travel Case,Custom Bridesmaid Jewelry Boxes,Bridesmaids Gift,Personalized Gift For Her,Christmas Gift,Birthday",167197,3972
https://www.etsy.com/listing/988823704/shower-steamers-uk-made-4-pack?click_key=15d87c3ee0eee1f9e9c98a3b6b9b003b827c86bb%3A988823704&click_sum=e80ee059&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-23&edd=1&pop=1&sts=1,Shower Steamers UK Made 4 Pack - Aromatherapy | Shower Bombs | UK Handmade | All Natural + Essential Oils | Eco Packaging,252930,1488
https://www.etsy.com/listing/1210723674/custom-jewelry-box-jewellery-storage?click_key=c25fda9802452b7cfdc8abf16a826b9536e5627b%3A1210723674&click_sum=eae8171c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-24&pro=1&edd=1,Custom jewelry box jewellery storage ring box travel jewellery case girls jewellery box gift for her personalized gifts,148438,9585
https://www.etsy.com/listing/1288132640/this-necklace-is-named-the-aurora?click_key=91e1fe9aa8731285da282d5ca4b02c6c34b3bb4b%3A1288132640&click_sum=3b17e478&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-13&pro=1&frs=1&edd=1&sts=1,This Necklace is Named The Aurora Borealis Under Starlight | This 14K Solid Gold Piece Has A Museum Grade Opal & 4x D Grade Natural Diamonds,233722871,338
https://www.etsy.com/listing/1217427223/14k-solid-gold-name-necklace-custom-name?click_key=9c854a2d09e9ef23dc127dff7bde219a90e64df8%3A1217427223&click_sum=544b9e2b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-14&pro=1&edd=1,"14K Solid Gold Name Necklace, Custom Name Necklace, Nameplate Necklace, Personalized Jewelry, Personalized Gifts for Women,Christmas Gift",859873,158
https://www.etsy.com/listing/773977478/large-blue-silk-scarf-scarves-for-women?click_key=098ae13c167019f955044853890e6e070ba285e5%3A773977478&click_sum=cfea7bf5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-15&pro=1&sts=1,"Large Blue Silk Scarf, Scarves for Women, Teal Green, Blue, Peach, Long Shawl. Appreciation Gift for woman, ""Orient"", Meditation shawl",1108280,758
https://www.etsy.com/listing/1083005803/italian-design-spring-sparkle-necklace?click_key=fe9927bed4234bd9db41f1f4209770b4e8e7d0e7%3A1083005803&click_sum=55a2cdc8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-16&pro=1&frs=1&edd=1&sts=1,Italian Design Spring Sparkle Necklace - 925 Sterling Silver - Flowers Sterling Silver Necklace - Wedding Gift for Women - Summer Jewelery,476115,342
https://www.etsy.com/listing/1267527099/personalised-prescription-wine-label-red?click_key=fb30cfc33f0b643e59593e4de404f9ddd6007726%3A1267527099&click_sum=2a9ec131&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-25&edd=1&pop=1,Personalised Prescription Wine Label Red White Rose Vinyl Sticker Funny Novelty Gift Birthday Anniversary,97461,11467
https://www.etsy.com/listing/772495585/custom-jewelry-box-jewellery-box?click_key=2743080a67d38a2cd4268bea41e259aac21651e2%3A772495585&click_sum=14328724&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-26&pro=1&edd=1&sts=1,Custom jewelry box Jewellery box jewellery ring box travel jewellery case girls jewellery box jewelry box with name bridesmaid proposal,125000,10004
https://www.etsy.com/listing/783936207/unique-planters-small-planter-air-plant?click_key=b3a48d0d0d387fe40a449c2ccff809c5449fe325%3A783936207&click_sum=d4bee93c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-27&pro=1&edd=1,Unique Planters - Small Planter - Air Plant Gift - Small House Plant - Minimal planter - Plant gifts for men - Plant gifts for her,452941,845
https://www.etsy.com/listing/1086451982/personalised-bookmark?click_key=501cf4d33ee3e69dcaf39fb520c80e86adcf7e58%3A1086451982&click_sum=3b9f26fc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-28&edd=1&pop=1&sts=1,Personalised BookMark,136523,1072
https://www.etsy.com/listing/1014352015/chance-made-us-colleagues-wooden-gift?click_key=46cfa65d332cd32a863b6e7dfd080f6b344c5eda%3A1014352015&click_sum=f93b5682&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-29&edd=1&pop=1,Chance made us Colleagues Wooden Gift Heart Plaque/Sign,58398,2788
https://www.etsy.com/listing/905169817/2-x-elf-pss-christmas-funny-novelty-wine?click_key=de8a80073a01fd3f94f0d855cd5faf24aa2caca2%3A905169817&click_sum=545a2463&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-30&edd=1&pop=1,2 x ELF P!ss Christmas Funny Novelty Wine Bottle Labels Joke Humour secret santa,67383,1895
https://www.etsy.com/listing/1264041409/combined-birth-flower-bouquet?click_key=9a18f927b21704aa913a0055e9302a80fce97d3c%3A1264041409&click_sum=b55a81f6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-31&pro=1&frs=1&edd=1&sts=1,"Combined Birth Flower Bouquet Necklace,Gifts for Women,Flower Necklace,Handmade Jewelry,Mom Christmas Gift,Personalized Gifts for Her",358280,1862
https://www.etsy.com/listing/1123658913/christmas-scent-soap-favors-personalized?click_key=d999652b17a10b7633363c39b3b697ad4a88abbf%3A1123658913&click_sum=00c7bcfd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-32&pro=1&edd=1&sts=1,Christmas Scent Soap Favors| Personalized Christmas Gifts | Custom Christmas Favors | Christmas Table | New Year Merry Christmas Favors,8758,1828
https://www.etsy.com/listing/809613679/womens-dopp-kit-personalized-toiletry?click_key=c40c2e8ef7c13382b4ff560825a62b91dfa9b8e0%3A809613679&click_sum=0c45ec64&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-33&pro=1&frs=1&edd=1,"Women's Dopp Kit, Personalized Toiletry Bag for Her, Leather Accessories Pouch, Personalized Gift for Women, Jewerly Storage Leather Bag",555732,7604
https://www.etsy.com/listing/1183967151/best-friend-gifts-personalized-best?click_key=5df101f81f84481a12f3a022f78c91a2459f5f54%3A1183967151&click_sum=57d4e586&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-34&frs=1&edd=1&pop=1,"Best Friend Gifts Personalized, Best Friend Birthday Gifts For Her, Friendship Gift, One Line Best Friend Christmas Gift For Best Friend",233723,2265
https://www.etsy.com/listing/1236401515/dainty-name-necklacepersonalized?click_key=2ec51fee0bcd84bb6a0a8aa0f08aa5a1d01a40c8%3A1236401515&click_sum=59546d15&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-35&pro=1&edd=1&sts=1,"Dainty Name Necklace,Personalized Signature Name Necklace,Mother Jewelry,Personalized Gifts For Her,Christmas Gifts For Mom,Birthday Gifts",146484,157
https://www.etsy.com/listing/629744104/mindfulness-journal-moan-and-move-on?click_key=d8b40824899d9947d70f4c8a641d998a88b583a6%3A629744104&click_sum=ab76ef4c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-36&edd=1&pop=1,"mindfulness journal - Moan and Move On Note Pad - Funny notepad, notepad gift for her, funny gift for partner, stocking filler, gift for him",116211,3150
https://www.etsy.com/listing/1127715140/personalized-jewelry-boxes-accessories?click_key=beab52c6916d276e44e9f8cfd4a38aba06874cdc%3A1127715140&click_sum=9c2a838d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-37&bes=1&edd=1&sts=1,"Personalized Jewelry Boxes, Accessories Case, Bridesmaid Gifts, romantic gifts, Custom Travel Case,Jewelry Box with Name,Thank you Gift",119281,1029
